IFSP,Campus Avançado São Paulo - São Miguel,Qualificação Profissional (FIC),Noturno,"Turismo, Hospitalidade e Lazer",Hospitalidade,1,1,45,1,45,187,45,42,2023
IFSP,Campus Avançado São Paulo - São Miguel,Qualificação Profissional (FIC),Vespertino,Desenvolvimento Educacional e Social,Desenvolvimento Educacional,1,3,77,5,120,550,77,39,2023
IFSP,Campus Avançado São Paulo - São Miguel,Qualificação Profissional (FIC),Vespertino,Produção Cultural e Design,Arte e Cultura,1,1,4,0,20,20,4,4,2023
IFSP,Campus Avançado São Paulo - São Miguel,Qualificação Profissional (FIC),Vespertino,Produção Cultural e Design,Design,1,1,3,0,19,20,3,3,2023
IFSP,Campus Avançado São Paulo - São Miguel,Qualificação Profissional (FIC),Vespertino,Produção Cultural e Design,Produção Cultural e Design,1,1,19,1,20,86,19,9,2023
IFSP,Campus Avançado São Paulo - São Miguel,Qualificação Profissional (FIC),Vespertino,"Turismo, Hospitalidade e Lazer",Hospitalidade,1,1,42,2,42,198,42,32,2023
IFSP,Campus Avançado São Paulo - São Miguel,Técnico,Integral,Informação e Comunicação,Informática,1,1,156,160,40,442,40,36,2023
IFSP,Campus Avançado São Paulo - São Miguel,Técnico,Integral,Produção Cultural e Design,Arte e Cultura,1,1,151,226,40,248,40,33,2023
IFSP,Campus Avançado São Paulo - São Miguel,Técnico,Integral,Produção Cultural e Design,Comunicação,1,1,7,7,,,,4,2023
IFSP,Campus Avançado Tupã,Qualificação Profissional (FIC),Noturno,Gestão e Negócios,Gestão e Negócios,1,1,22,5,22,40,22,10,2023
IFSP,Campus Avançado Tupã,Técnico,Integral,Controle e Processos Industriais,Elétrica,1,4,300,342,167,383,142,73,2023
IFSP,Campus Avaré,Bacharelado,Matutino,Recursos Naturais,Agrícola,1,1,133,133,40,55,35,6,2023
IFSP,Campus Avaré,Licenciatura,Noturno,Desenvolvimento Educacional e Social,Desenvolvimento Educacional,1,2,328,336,80,134,76,22,2023
IFSP,Campus Avaré,Qualificação Profissional (FIC),Integral,Recursos Naturais,Recursos Naturais,1,1,71,6,79,85,71,28,2023
